PreguntaOn,PreguntaOff,Colors,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On1.started,CondicionOn.started,On1.stopped,Off.started,CondicionOff.started,Off.stopped,On2.started,text.started,On2.stopped,Off2.started,text_2.started,Off2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.039477799999076524,0.11135459999968589,0.07461700000021665,6.164206999999806,[-0.13657407407407407],[0.1597222222222222],[1],[0],[0],[6.087311799999952],,,,,,,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
,,,,,,,,,,,,,,,,,,,,,,,6.174956299999394,6.211021699999037,26.189047500000015,,,,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,,,,,26.258016099998713,,,,,,,,,,,,,,,26.226999499998783,26.258016099998713,27.208868199999415,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,,,,,27.240188300000227,,,,,,,,,,,,,,,27.209188199998607,27.240188300000227,28.175185000000056,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,2,2,2,,,,,28.200247999999192,,,,,,,,,,,,,,,28.175504999999248,28.200247999999192,29.19114979999904,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,3,3,3,,,,,29.21695969999928,,,,,,,,,,,,,,,29.191450799999075,29.21695969999928,30.192742799999905,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,4,4,4,,,,,30.216565299999274,,,,,,,,,,,,,,,30.193087399999058,30.216565299999274,31.19225759999972,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,5,5,5,,,,,31.218803599998864,,,,,,,,,,,,,,,31.19253099999878,31.218803599998864,32.191079599999284,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,6,6,6,,,,,32.21801079999932,,,,,,,,,,,,,,,32.19142659999852,32.21801079999932,33.20263039999918,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,7,7,7,,,,,33.23717849999957,,,,,,,,,,,,,,,33.2031207,33.23717849999957,34.18163920000006,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,8,8,8,,,,,34.203105499998856,,,,,,,,,,,,,,,34.1842345999994,34.203105499998856,35.19777199999953,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,9,9,9,,,,,35.218793500000174,,,,,,,,,,,,,,,35.19977459999973,35.218793500000174,36.194593899999745,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
None,21,white,0,10,10,10,,,,,36.232283800000005,,,,,,,,,,,,,,,36.19610300000022,36.232283800000005,37.18218049999996,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
None,23,blue,0,11,11,11,,,,,37.217121899999256,,,,,,,,,,,,,,,37.18264029999955,37.217121899999256,38.18217039999945,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
None,25,yellow,0,12,12,12,,,,,38.21053959999881,,,,,,,,,,,,,,,38.18246999999974,38.21053959999881,39.18330919999971,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
None,27,orange,0,13,13,13,,,,,39.21030719999908,,,,,,,,,,,,,,,39.18364299999848,39.21030719999908,40.1836833999987,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
None,29,brown,0,14,14,14,,,,,40.21011249999901,,,,,,,,,,,,,,,40.18400349999865,40.21011249999901,41.183350999999675,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
None,31,purple,0,15,15,15,,,,,41.20959380000022,,,,,,,,,,,,,,,41.18368289999853,41.20959380000022,42.17983469999854,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
None,33,green,0,16,16,16,,,,,42.20958369999971,,,,,,,,,,,,,,,42.180135299999165,42.20958369999971,43.17829029999848,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
None,35,red,0,17,17,17,,,,,43.21178919999875,,,,,,,,,,,,,,,43.178672500000175,43.21178919999875,44.176171899998735,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
None,37,white,0,18,18,18,,,,,44.194497799999226,,,,,,,,,,,,,,,44.17672029999994,44.194497799999226,45.17830460000005,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
None,39,blue,0,19,19,19,,,,,45.209991899999295,,,,,,,,,,,,,,,45.17860800000017,45.209991899999295,46.20859879999989,,,,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.208684499999436,46.22738500000014,66.20801329999995,,,,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,,,,,0,0,0,8,66.29047819999869,,,,,,,,,,,,,,,,,,,,,66.25941109999985,66.29047819999869,67.20555669999885,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
None,31,purple,,,,,0,1,1,15,67.23869509999895,,,,,,,,,,,,,,,,,,,,,67.20608840000023,67.23869509999895,68.19011080000018,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,,,,,0,2,2,5,68.21820750000006,,,,,,,,,,,,,,,,,,,,,68.19040789999963,68.21820750000006,69.18976649999968,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,,,,,0,3,3,1,69.21825159999935,,,,,,,,,,,,,,,,,,,,,69.19003349999912,69.21825159999935,70.17527059999884,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,,,,,0,4,4,6,70.20064110000021,,,,,,,,,,,,,,,,,,,,,70.17557229999875,70.20064110000021,71.17910859999938,175613,001,2024-04-30_17h25.03.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h25.16.111205 -0500,
