PreguntaOn,PreguntaOff,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On.started,CondicionOn.started,On.stopped,Off.started,CondicionOff.started,Off.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0743607999975211,0.09631960000115214,0.07375969999702647,6.793788000002678,[-0.11342592592592593],[0.16435185185185186],[1],[0],[0],[6.717505599997821],,,,,,,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,0,0,0,0,7.869648400002916,,,,,,,,,,,,6.834060499997577,6.903797300001315,7.801618199999211,7.832882399998198,7.869648400002916,7.917329299998528,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,0,0,0,0,1,1,1,7.952397699998983,,,,,,,,,,,,,,,7.918344099998649,7.952397699998983,8.000478399997519,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,0,0,0,0,2,2,2,8.035838900003,,,,,,,,,,,,,,,8.002916400000686,8.035838900003,8.124155299999984,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,0,0,0,0,3,3,3,8.169098600003053,,,,,,,,,,,,,,,8.125502000002598,8.169098600003053,8.222150100002182,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,0,0,0,0,4,4,4,8.269134100002702,,,,,,,,,,,,,,,8.223678900001687,8.269134100002702,8.326660899998387,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,0,0,0,0,5,5,5,8.371712899999693,,,,,,,,,,,,,,,8.328099099999235,8.371712899999693,8.437687300000107,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,0,0,0,0,6,6,6,8.471966500001145,,,,,,,,,,,,,,,8.438946399997803,8.471966500001145,8.51930110000103,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,0,0,0,0,7,7,7,8.555573300000106,,,,,,,,,,,,,,,8.521764999997686,8.555573300000106,8.62413419999939,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,0,0,0,0,8,8,8,8.655013900002814,,,,,,,,,,,,,,,8.625520800000231,8.655013900002814,8.705546400000458,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
