PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,On.stopped,CondicionOn.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.09607770000002347,0.11704550000104064,0.09529750000001513,7.9043842000010045,[-0.15234375],[0.17708333333333334],[1],[0],[0],[7.804260400000203],,,,,,,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,0,0,0,0,9.0924286999998,,,,,,,,,,,,8.129220200000418,8.193395399999645,8.935354999999618,8.982465600000069,9.05005170000004,,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,0,0,0,0,1,1,1,9.0924286999998,,,,,,,,,,,,,,,9.051950500001112,9.11371379999946,9.0924286999998,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,0,0,0,0,2,2,2,9.15996129999985,,,,,,,,,,,,,,,9.11533640000016,9.21514500000012,9.15996129999985,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,0,0,0,0,3,3,3,9.260127100000318,,,,,,,,,,,,,,,9.216494700000112,9.333732900000541,9.260127100000318,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,0,0,0,0,4,4,4,9.376437500000975,,,,,,,,,,,,,,,9.334959300000264,9.465172600001097,9.376437500000975,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,0,0,0,0,5,5,5,9.529200799999671,,,,,,,,,,,,,,,9.467743200000768,9.562753600001088,9.529200799999671,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,0,0,0,0,6,6,6,9.612718300000779,,,,,,,,,,,,,,,9.565068800000518,9.648895500000435,9.612718300000779,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,0,0,0,0,7,7,7,9.693079300001045,,,,,,,,,,,,,,,9.651095900000655,9.739340800000718,9.693079300001045,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,0,0,0,0,8,8,8,9.777601800000411,,,,,,,,,,,,,,,9.740654799999902,9.846824300000662,9.777601800000411,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,0,0,0,0,9,9,9,9.877378000001045,,,,,,,,,,,,,,,9.848319300001094,9.949034299999767,9.877378000001045,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,21,white,0,0,0,0,0,10,10,10,10.043509999999515,,,,,,,,,,,,,,,9.950282699999661,10.007688300000154,,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,23,blue,0,0,0,0,0,11,11,11,10.043509999999515,,,,,,,,,,,,,,,10.009218900000633,10.121777199999997,10.043509999999515,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,25,yellow,0,0,0,0,0,12,12,12,10.160621299999548,,,,,,,,,,,,,,,10.12385660000109,10.234036800000467,10.160621299999548,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,27,orange,0,0,0,0,0,13,13,13,10.276938599999994,,,,,,,,,,,,,,,10.235818900000595,10.350826199999574,10.276938599999994,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,29,brown,0,0,0,0,0,14,14,14,10.394079300000158,,,,,,,,,,,,,,,10.352364000000307,10.415733499999988,10.394079300000158,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,31,purple,0,0,0,0,0,15,15,15,10.460806900000534,,,,,,,,,,,,,,,10.417416899999807,10.54093869999997,10.460806900000534,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,33,green,0,0,0,0,0,16,16,16,10.5944614,,,,,,,,,,,,,,,10.542304500000682,10.624082100001033,10.5944614,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,35,red,0,0,0,0,0,17,17,17,10.678019299999505,,,,,,,,,,,,,,,10.626087300001018,10.725722600000154,10.678019299999505,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
