PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,Intrucion.started,text_3.started,mouse.started,Intrucion.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,CondicionOn.started,On.stopped,CondicionOn.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.019946800000070652,0.0441768000000593,0.019641699999738194,0.6698372999999265,[0.15364583333333334],[0.21744791666666666],[1],[0],[0],[0.6490469000000303],,,,,,,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,0,0,0,0,3.7076311999999234,,,,,,,,,,,,0.6843680000001768,0.7271098000001075,3.6817794999997204,3.6910785000000033,3.7076311999999234,4.681123499999558,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,0,0,0,0,1,1,1,4.707081800000196,,,,,,,,,,,,,,,4.681698600000345,4.707081800000196,5.6796354999996765,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,0,0,0,0,2,2,2,5.705972099999599,,,,,,,,,,,,,,,5.679921099999774,5.705972099999599,6.679661000000124,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,0,0,0,0,3,3,3,6.705129699999816,,,,,,,,,,,,,,,6.679992499999571,6.705129699999816,7.678071000000273,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
" ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,0,0,0,0,4,4,4,7.704107399999884,,,,,,,,,,,,,,,7.678370300000097,7.704107399999884,8.677659400000266,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,0,0,0,0,5,5,5,8.690678599999956,,,,,,,,,,,,,,,8.678058599999531,8.690678599999956,9.677257199999985,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,0,0,0,0,6,6,6,9.70440950000011,,,,,,,,,,,,,,,9.67767939999976,9.70440950000011,10.675940600000104,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,0,0,0,0,7,7,7,10.703426299999592,,,,,,,,,,,,,,,10.676241699999991,10.703426299999592,11.674861499999679,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
 ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,0,0,0,0,8,8,8,11.68823969999994,,,,,,,,,,,,,,,11.675144300000284,11.68823969999994,12.673785799999678,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,0,0,0,0,9,9,9,12.687390299999606,,,,,,,,,,,,,,,12.674061300000176,12.687390299999606,13.672821600000134,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
None,21,white,0,0,0,0,0,10,10,10,13.699033500000041,,,,,,,,,,,,,,,13.673092899999574,13.699033500000041,14.672394299999723,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
None,23,blue,0,0,0,0,0,11,11,11,14.685586100000364,,,,,,,,,,,,,,,14.67276800000036,14.685586100000364,15.671196899999813,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
None,25,yellow,0,0,0,0,0,12,12,12,15.684250399999655,,,,,,,,,,,,,,,15.671483600000101,15.684250399999655,16.670160699999542,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
None,27,orange,0,0,0,0,0,13,13,13,16.683507900000222,,,,,,,,,,,,,,,16.670428000000356,16.683507900000222,17.670286499999747,17.697262800000317,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
None,29,brown,0,0,0,0,0,14,14,14,17.697262800000317,,,,,,,,,,,,,,,17.670645399999557,17.697262800000317,18.685766599999624,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
None,31,purple,0,0,0,0,0,15,15,15,18.69841339999948,,,,,,,,,,,,,,,18.686048700000356,18.69841339999948,19.684409700000288,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
None,33,green,0,0,0,0,0,16,16,16,19.697593699999743,,,,,,,,,,,,,,,19.68474049999986,19.697593699999743,20.68361780000032,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
None,35,red,0,0,0,0,0,17,17,17,20.71145390000038,,,,,,,,,,,,,,,20.684009599999627,20.71145390000038,21.683144999999968,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
None,37,white,0,0,0,0,0,18,18,18,21.695942000000286,,,,,,,,,,,,,,,21.68341049999981,21.695942000000286,22.682897200000298,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
None,39,blue,0,0,0,0,0,19,19,19,22.709541700000045,,,,,,,,,,,,,,,22.683234699999957,22.709541700000045,23.681385699999737,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,1,1,1,0,0,0,0,26.706052100000306,,,,,,,,,,,,23.681784399999742,23.70737939999981,26.67829350000011,26.68889549999949,26.706052100000306,27.67732369999976,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,0,1,1,1,27.690563099999963,,,,,,,,,,,,,,,27.677609100000154,27.690563099999963,28.67685679999977,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,1,1,1,0,2,2,2,28.68988730000001,,,,,,,,,,,,,,,28.67715489999955,28.68988730000001,29.67597939999996,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,1,1,1,0,3,3,3,29.688846199999716,,,,,,,,,,,,,,,29.67630989999998,29.688846199999716,30.67545169999994,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
" ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,1,1,1,0,4,4,4,30.703038699999524,,,,,,,,,,,,,,,30.675750499999594,30.703038699999524,31.674645999999484,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,1,1,1,0,5,5,5,31.701707899999747,,,,,,,,,,,,,,,31.67491080000036,31.701707899999747,32.673700700000154,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,1,1,1,0,6,6,6,32.700812699999915,,,,,,,,,,,,,,,32.674108299999716,32.700812699999915,33.67277170000034,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,1,1,1,0,7,7,7,33.70021639999959,,,,,,,,,,,,,,,33.67312109999966,33.70021639999959,34.671788200000265,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
 ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,1,1,1,0,8,8,8,34.69917600000008,,,,,,,,,,,,,,,34.672161499999675,34.69917600000008,35.6707779999997,,437912,001,2024-04-28_10h56.04.287,ArchivoPrueba,2024.1.1,None,2024-04-28 10h56.12.034805 -0500,
,,,,,,,,,,,35.68361610000011,,,,,,,,,,,,,,,35.67108569999982,35.68361610000011,,,,,,,,,,
