PreguntaOn,PreguntaOff,Colors,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On1.started,CondicionOn.started,On1.stopped,Off.started,CondicionOff.started,Off.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.030152799999996205,0.0528491999994003,0.029767300000457908,30.664341699999568,[0.3055555555555556],[0.01273148148148148],[1],[0],[0],[30.633155600000464],,,,,,,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,0,0,0,0,50.743657000000894,,,,,,,,,,,,30.687487299999702,30.730236700001115,50.69154359999993,50.710813800000324,50.743657000000894,51.18517849999989,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,0,0,0,0,1,1,1,51.210466099999394,,,,,,,,,,,,,,,51.185611799999606,51.210466099999394,51.684451200000694,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,0,0,0,0,2,2,2,51.70849350000026,,,,,,,,,,,,,,,51.684841600001164,51.70849350000026,52.166714400000274,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,0,0,0,0,3,3,3,52.19099970000025,,,,,,,,,,,,,,,52.16700359999959,52.19099970000025,52.683813999999984,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,0,0,0,0,4,4,4,52.70773779999945,,,,,,,,,,,,,,,52.684279799999786,52.70773779999945,53.17118020000089,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,0,0,0,0,5,5,5,53.19547179999972,,,,,,,,,,,,,,,53.17290370000046,53.19547179999972,53.66487910000069,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,0,0,0,0,6,6,6,53.693017800000234,,,,,,,,,,,,,,,53.66521760000069,53.693017800000234,54.166815900000074,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,0,0,0,0,7,7,7,54.192723600001045,,,,,,,,,,,,,,,54.16712540000117,54.192723600001045,54.66483280000102,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,0,0,0,0,8,8,8,54.69203800000105,,,,,,,,,,,,,,,54.66517070000009,54.69203800000105,55.18308210000032,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,0,0,0,0,9,9,9,55.20802680000088,,,,,,,,,,,,,,,55.18379649999952,55.20802680000088,55.680763899999874,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
None,21,white,0,0,0,0,0,10,10,10,55.70539310000095,,,,,,,,,,,,,,,55.68113790000098,55.70539310000095,56.16652710000017,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
None,23,blue,0,0,0,0,0,11,11,11,56.19296860000031,,,,,,,,,,,,,,,56.16762310000013,56.19296860000031,56.67934640000021,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
None,25,yellow,0,0,0,0,0,12,12,12,56.70762680000007,,,,,,,,,,,,,,,56.67966720000004,56.70762680000007,57.16763750000064,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
None,27,orange,0,0,0,0,0,13,13,13,57.192215700000816,,,,,,,,,,,,,,,57.168318300000465,57.192215700000816,57.69304650000049,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
None,29,brown,0,0,0,0,0,14,14,14,57.72319020000032,,,,,,,,,,,,,,,57.69334669999989,57.72319020000032,58.1781933000002,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
None,31,purple,0,0,0,0,0,15,15,15,58.205939400000716,,,,,,,,,,,,,,,58.17850770000041,58.205939400000716,58.678319000000556,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
None,33,green,0,0,0,0,0,16,16,16,58.705625900000086,,,,,,,,,,,,,,,58.67864720000034,58.705625900000086,59.175297400001,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
None,35,red,0,0,0,0,0,17,17,17,59.20529710000119,,,,,,,,,,,,,,,59.175614400000995,59.20529710000119,59.6912898999999,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
None,37,white,0,0,0,0,0,18,18,18,59.721639700001106,,,,,,,,,,,,,,,59.691588699999556,59.721639700001106,60.19097210000109,456322,001,2024-04-30_18h22.19.547,ArchivoPrueba,2024.1.1,None,2024-04-30 18h22.29.130504 -0500,
