PreguntaOff,PreguntaOn,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intrucion.started,text_3.started,mouse.started,Intrucion.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,text.started,Off.stopped,On.started,text_2.started,On.stopped,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.019685799999933806,0.037623100000018894,0.0193741999996746,1.2877957000000606,[-0.16276041666666666],[0.171875],[1],[0],[0],[1.2673938000002636],,,,,,,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,0,0,0,0,4.328232200000002,,,,,,,,,,,,1.3019279999998616,1.3457656000000497,4.301026600000114,4.311177399999906,4.328232200000002,5.2995271999998295,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
2) ¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,2,0,0,0,0,0,1,1,1,5.325541600000179,,,,,,,,,,,,,,,5.299942000000101,5.325541600000179,6.298551700000189,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
3) ¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,3,0,0,0,0,0,2,2,2,6.3248044000001755,,,,,,,,,,,,,,,6.298880800000006,6.3248044000001755,7.297866700000213,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
4) ¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,4,0,0,0,0,0,3,3,3,7.323836699999902,,,,,,,,,,,,,,,7.298259300000154,7.323836699999902,8.296761900000092,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
"5) ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",5,0,0,0,0,0,4,4,4,8.322874299999967,,,,,,,,,,,,,,,8.29715269999997,8.322874299999967,9.294211100000211,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
6) ¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,6,0,0,0,0,0,5,5,5,9.307824699999856,,,,,,,,,,,,,,,9.294632200000251,9.307824699999856,10.293085000000247,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
7) ¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,7,0,0,0,0,0,6,6,6,10.306624400000146,,,,,,,,,,,,,,,10.293574199999966,10.306624400000146,11.308986999999888,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
8) ¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,8,0,0,0,0,0,7,7,7,11.322502800000166,,,,,,,,,,,,,,,11.30943840000009,11.322502800000166,12.293619699999908,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
9) ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,9,0,0,0,0,0,8,8,8,12.319402500000251,,,,,,,,,,,,,,,12.294080399999984,12.319402500000251,13.292496300000039,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
10) ¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,10,0,0,0,0,0,9,9,9,13.318674600000122,,,,,,,,,,,,,,,13.292829800000163,13.318674600000122,14.29161299999987,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,11,0,0,0,0,0,10,10,10,14.304928200000177,,,,,,,,,,,,,,,14.291948600000069,14.304928200000177,15.290820199999871,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,12,0,0,0,0,0,11,11,11,15.304015900000195,,,,,,,,,,,,,,,15.291238899999826,15.304015900000195,16.289824200000112,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,13,0,0,0,0,0,12,12,12,16.303177300000243,,,,,,,,,,,,,,,16.29021590000002,16.303177300000243,17.299261699999988,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,14,0,0,0,0,0,13,13,13,17.31687550000015,,,,,,,,,,,,,,,17.299981600000137,17.31687550000015,18.288565299999846,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,15,0,0,0,0,0,14,14,14,18.301623100000143,,,,,,,,,,,,,,,18.288961199999903,18.301623100000143,19.30406119999998,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,16,0,0,0,0,0,15,15,15,19.317071299999952,,,,,,,,,,,,,,,19.304509399999915,19.317071299999952,20.30301469999995,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,17,0,0,0,0,0,16,16,16,20.316364899999826,,,,,,,,,,,,,,,20.303365400000075,20.316364899999826,21.302511100000174,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,18,0,0,0,0,0,17,17,17,21.315467700000227,,,,,,,,,,,,,,,21.302923100000044,21.315467700000227,22.30134799999996,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,19,0,0,0,0,0,18,18,18,22.314787400000114,,,,,,,,,,,,,,,22.3017404000002,22.314787400000114,23.300666399999955,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,20,0,0,0,0,0,19,19,19,23.313776299999972,,,,,,,,,,,,,,,23.30103569999983,23.313776299999972,24.299752700000226,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,1,0,20,0,24.312699800000246,,,,,,,,,,,,,,,24.300158699999884,24.312699800000246,25.299117300000034,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
2) ¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,2,0,0,0,0,1,1,21,1,25.31203030000006,,,,,,,,,,,,,,,25.29953000000023,25.31203030000006,26.298067700000047,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
3) ¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,3,0,0,0,0,1,2,22,2,26.311137600000166,,,,,,,,,,,,,,,26.2984663000002,26.311137600000166,27.296787600000243,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
4) ¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,4,0,0,0,0,1,3,23,3,27.310221100000035,,,,,,,,,,,,,,,27.297241000000213,27.310221100000035,28.295970600000146,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
"5) ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",5,0,0,0,0,1,4,24,4,28.309267399999953,,,,,,,,,,,,,,,28.296317499999986,28.309267399999953,29.295566900000267,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
6) ¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,6,0,0,0,0,1,5,25,5,29.30849699999999,,,,,,,,,,,,,,,29.295965199999955,29.30849699999999,30.29606139999987,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
7) ¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,7,0,0,0,0,1,6,26,6,30.32191950000015,,,,,,,,,,,,,,,30.296633100000236,30.32191950000015,31.3130728000001,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
8) ¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,8,0,0,0,0,1,7,27,7,31.3377731999999,,,,,,,,,,,,,,,31.313921100000243,31.3377731999999,32.292698700000074,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
9) ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,9,0,0,0,0,1,8,28,8,32.30599740000025,,,,,,,,,,,,,,,32.29308420000007,32.30599740000025,33.3079044000001,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
10) ¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,10,0,0,0,0,1,9,29,9,33.321871699999974,,,,,,,,,,,,,,,33.30845610000006,33.321871699999974,34.29118960000005,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,11,0,0,0,0,1,10,30,10,34.30413320000025,,,,,,,,,,,,,,,34.291549999999916,34.30413320000025,35.29039270000021,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,12,0,0,0,0,1,11,31,11,35.30351509999991,,,,,,,,,,,,,,,35.290868000000046,35.30351509999991,36.28972999999996,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,13,0,0,0,0,1,12,32,12,36.30241500000011,,,,,,,,,,,,,,,36.29007439999987,36.30241500000011,37.28825570000026,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,14,0,0,0,0,1,13,33,13,37.30173909999985,,,,,,,,,,,,,,,37.2886481999999,37.30173909999985,38.28846419999991,38.31518760000017,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,15,0,0,0,0,1,14,34,14,38.31518760000017,,,,,,,,,,,,,,,38.288835299999846,38.31518760000017,39.30308300000024,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,16,0,0,0,0,1,15,35,15,39.31651899999997,,,,,,,,,,,,,,,39.303426800000125,39.31651899999997,40.30234160000009,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,17,0,0,0,0,1,16,36,16,40.31586440000001,,,,,,,,,,,,,,,40.30270010000004,40.31586440000001,41.301704099999824,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,18,0,0,0,0,1,17,37,17,41.314482300000236,,,,,,,,,,,,,,,41.30217420000008,41.314482300000236,42.300598400000126,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,19,0,0,0,0,1,18,38,18,42.31403760000012,,,,,,,,,,,,,,,42.30095449999999,42.31403760000012,43.29956630000015,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
None,20,0,0,0,0,1,19,39,19,43.312878199999886,,,,,,,,,,,,,,,43.2999448999999,43.312878199999886,44.29951949999986,,767757,001,2024-04-28_10h23.52.384,ArchivoPrueba,2024.1.1,None,2024-04-28 10h24.01.231272 -0500,
