PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,CondicionOn.started,On.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.028254099999685423,0.05028370000036375,0.027936799999224604,1.0650014999991981,[-0.23958333333333334],[0.17708333333333334],[1],[0],[0],[1.0358295000005455],,,,,,,773583,001,2024-04-28_12h19.59.154,ArchivoPrueba,2024.1.1,None,2024-04-28 12h20.09.224697 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,0,0,0,0,2.104067099999156,,,,,,,,,,,,1.0774954999997135,1.105718299999353,2.079321600000185,2.089471199999025,2.104067099999156,2.1787160000003496,773583,001,2024-04-28_12h19.59.154,ArchivoPrueba,2024.1.1,None,2024-04-28 12h20.09.224697 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,0,0,0,0,1,1,1,2.2042897999999695,,,,,,,,,,,,,,,2.1790533999992476,2.2042897999999695,2.278991999999562,773583,001,2024-04-28_12h19.59.154,ArchivoPrueba,2024.1.1,None,2024-04-28 12h20.09.224697 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,0,0,0,0,2,2,2,2.3039043999997375,,,,,,,,,,,,,,,2.279290599999513,2.3039043999997375,2.3793745999992097,773583,001,2024-04-28_12h19.59.154,ArchivoPrueba,2024.1.1,None,2024-04-28 12h20.09.224697 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,0,0,0,0,3,3,3,2.4040267000000313,,,,,,,,,,,,,,,2.379711800000223,2.4040267000000313,2.4759300999994593,773583,001,2024-04-28_12h19.59.154,ArchivoPrueba,2024.1.1,None,2024-04-28 12h20.09.224697 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,0,0,0,0,4,4,4,2.503630900000644,,,,,,,,,,,,,,,2.47620839999945,2.503630900000644,2.5787215000000288,773583,001,2024-04-28_12h19.59.154,ArchivoPrueba,2024.1.1,None,2024-04-28 12h20.09.224697 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,0,0,0,0,5,5,5,2.605589799999507,,,,,,,,,,,,,,,2.5790501999999833,2.605589799999507,2.6785263999991002,773583,001,2024-04-28_12h19.59.154,ArchivoPrueba,2024.1.1,None,2024-04-28 12h20.09.224697 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,0,0,0,0,6,6,6,2.705401499999425,,,,,,,,,,,,,,,2.6789353000003757,2.705401499999425,2.780386799999178,773583,001,2024-04-28_12h19.59.154,ArchivoPrueba,2024.1.1,None,2024-04-28 12h20.09.224697 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,0,0,0,0,7,7,7,2.8058440999993763,,,,,,,,,,,,,,,2.7807412999991357,2.8058440999993763,2.878145799999402,773583,001,2024-04-28_12h19.59.154,ArchivoPrueba,2024.1.1,None,2024-04-28 12h20.09.224697 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,0,0,0,0,8,8,8,2.905299300000479,,,,,,,,,,,,,,,2.8784605999990163,2.905299300000479,2.9783420999992813,773583,001,2024-04-28_12h19.59.154,ArchivoPrueba,2024.1.1,None,2024-04-28 12h20.09.224697 -0500,
