PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,Intrucion.started,text_3.started,mouse.started,Intrucion.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,text.started,Off.stopped,On.started,text_2.started,On.stopped,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.02854109999952925,0.04781399999956193,0.028179200000522542,2.580946600000061,[-0.1484375],[0.18489583333333334],[1],[0],[0],[2.551586700000371],,,,,,,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,0,0,0,0,5.68613809999988,,,,,,,,,,,,2.592015899999751,2.6387443999992684,5.593247499999961,5.603218399999605,5.68613809999988,6.592842000000019,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,0,0,0,0,1,1,1,6.618463299999348,,,,,,,,,,,,,,,6.593115699999544,6.618463299999348,7.590998099999524,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,0,0,0,0,2,2,2,7.617513199999848,,,,,,,,,,,,,,,7.591300299999602,7.617513199999848,8.590319699999782,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,0,0,0,0,3,3,3,8.616624399999637,,,,,,,,,,,,,,,8.590595299999222,8.616624399999637,9.589519999999538,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
" ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,0,0,0,0,4,4,4,9.615774399999282,,,,,,,,,,,,,,,9.58979829999953,9.615774399999282,10.588983599999665,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,0,0,0,0,5,5,5,10.60178629999973,,,,,,,,,,,,,,,10.589339199999813,10.60178629999973,11.588128699999288,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,0,0,0,0,6,6,6,11.601161999999931,,,,,,,,,,,,,,,11.588494499999797,11.601161999999931,12.586905899999692,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,0,0,0,0,7,7,7,12.600105199999234,,,,,,,,,,,,,,,12.587177399999746,12.600105199999234,13.585978999999497,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
 ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,0,0,0,0,8,8,8,13.59933269999965,,,,,,,,,,,,,,,13.586253800000122,13.59933269999965,14.585139999999228,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,0,0,0,0,9,9,9,14.598332300000038,,,,,,,,,,,,,,,14.585411499999282,14.598332300000038,15.58435129999998,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,21,white,0,0,0,0,0,10,10,10,15.610626699999557,,,,,,,,,,,,,,,15.584623499999907,15.610626699999557,16.583558299999822,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,23,blue,0,0,0,0,0,11,11,11,16.596901699999762,,,,,,,,,,,,,,,16.58393149999938,16.596901699999762,17.582528099999763,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,25,yellow,0,0,0,0,0,12,12,12,17.595686300000125,,,,,,,,,,,,,,,17.582870999999614,17.595686300000125,18.58194469999944,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,27,orange,0,0,0,0,0,13,13,13,18.595258399999693,,,,,,,,,,,,,,,18.582244100000025,18.595258399999693,19.5980540999999,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,29,brown,0,0,0,0,0,14,14,14,19.610954400000082,,,,,,,,,,,,,,,19.59832389999974,19.610954400000082,20.596735600000102,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,31,purple,0,0,0,0,0,15,15,15,20.610093100000086,,,,,,,,,,,,,,,20.597057899999527,20.610093100000086,21.59562039999946,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,33,green,0,0,0,0,0,16,16,16,21.609014699999534,,,,,,,,,,,,,,,21.595956499999375,21.609014699999534,22.594622900000104,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,35,red,0,0,0,0,0,17,17,17,22.60823739999978,,,,,,,,,,,,,,,22.594956299999467,22.60823739999978,23.594070699999975,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,37,white,0,0,0,0,0,18,18,18,23.60732419999931,,,,,,,,,,,,,,,23.59443250000004,23.60732419999931,24.59324740000011,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,39,blue,0,0,0,0,0,19,19,19,24.606500399999277,,,,,,,,,,,,,,,24.593559199999618,24.606500399999277,25.592308199999934,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,1,1,1,0,0,0,0,28.617451099999926,,,,,,,,,,,,25.59282600000006,25.618678899999395,28.590592300000026,28.600686899999346,28.617451099999926,29.588822699999582,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,0,1,1,1,29.602042799999253,,,,,,,,,,,,,,,29.589116000000104,29.602042799999253,30.587841199999275,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,1,1,1,0,2,2,2,30.601300399999673,,,,,,,,,,,,,,,30.58811710000009,30.601300399999673,31.587473900000077,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,1,1,1,0,3,3,3,31.600283799999488,,,,,,,,,,,,,,,31.587876399999914,31.600283799999488,32.58650140000009,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
" ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,1,1,1,0,4,4,4,32.59964089999994,,,,,,,,,,,,,,,32.586879299999964,32.59964089999994,33.58556509999926,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,1,1,1,0,5,5,5,33.59874749999926,,,,,,,,,,,,,,,33.58593479999945,33.59874749999926,34.5845632999999,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,1,1,1,0,6,6,6,34.59770499999922,,,,,,,,,,,,,,,34.58485529999962,34.59770499999922,35.583518899999945,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,1,1,1,0,7,7,7,35.59666829999969,,,,,,,,,,,,,,,35.58379049999985,35.59666829999969,36.583781199999976,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
 ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,1,1,1,0,8,8,8,36.59586129999934,,,,,,,,,,,,,,,36.58409589999974,36.59586129999934,37.582149500000014,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,1,1,1,0,9,9,9,37.59496039999976,,,,,,,,,,,,,,,37.58246819999931,37.59496039999976,38.58132789999945,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,21,white,0,1,1,1,0,10,10,10,38.59414529999958,,,,,,,,,,,,,,,38.58168079999996,38.59414529999958,39.58067799999935,39.59338419999949,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,23,blue,0,1,1,1,0,11,11,11,39.59338419999949,,,,,,,,,,,,,,,39.58098729999983,39.59338419999949,40.57980899999984,40.5924202999995,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,25,yellow,0,1,1,1,0,12,12,12,40.5924202999995,,,,,,,,,,,,,,,40.58011819999956,40.5924202999995,41.57925889999933,41.60666669999955,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,27,orange,0,1,1,1,0,13,13,13,41.60666669999955,,,,,,,,,,,,,,,41.57955089999996,41.60666669999955,42.59507570000005,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,29,brown,0,1,1,1,0,14,14,14,42.62210489999961,,,,,,,,,,,,,,,42.59550080000008,42.62210489999961,43.59400759999971,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
