PreguntaOn,PreguntaOff,Colors,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On.started,CondicionOn.started,On.stopped,Off.started,CondicionOff.started,Off.stopped,On1.started,text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.026278599998477148,0.05573550000008254,0.02583730000151263,1.8969800999984727,[0.0],[-0.06365740740740741],[1],[0],[0],[1.869746700000178],,,,,,,,,812330,001,2024-04-30_17h42.33.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h42.45.472970 -0500,
,,,,,,,,,,,,,,,,,,,1.8972451999998157,1.9210986999987654,2.91119609999987,,,,,,812330,001,2024-04-30_17h42.33.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h42.45.472970 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,2.950355999999374,,,,,,,,,,,,,,,2.9233365999989473,2.950355999999374,3.9101465999992797,,,812330,001,2024-04-30_17h42.33.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h42.45.472970 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,3.932823399998597,,,,,,,,,,,,,,,3.910513599999831,3.932823399998597,4.9092286999984935,,,812330,001,2024-04-30_17h42.33.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h42.45.472970 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,2,2,2,4.931661399999939,,,,,,,,,,,,,,,4.909727499998553,4.931661399999939,5.921059199999945,,,812330,001,2024-04-30_17h42.33.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h42.45.472970 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,3,3,3,5.947126699998989,,,,,,,,,,,,,,,5.921486299999742,5.947126699998989,6.90674989999934,,,812330,001,2024-04-30_17h42.33.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h42.45.472970 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,4,4,4,6.930049399999916,,,,,,,,,,,,,,,6.907028199999331,6.930049399999916,7.902243599999565,,,812330,001,2024-04-30_17h42.33.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h42.45.472970 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,5,5,5,7.932432699999481,,,,,,,,,,,,,,,7.90259530000003,7.932432699999481,8.901386300000013,,,812330,001,2024-04-30_17h42.33.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h42.45.472970 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,6,6,6,8.931172899998273,,,,,,,,,,,,,,,8.901774199999636,8.931172899998273,9.901253999998517,,,812330,001,2024-04-30_17h42.33.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h42.45.472970 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,7,7,7,9.930333999998766,,,,,,,,,,,,,,,9.90167559999827,9.930333999998766,10.917097499999727,,,812330,001,2024-04-30_17h42.33.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h42.45.472970 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,8,8,8,10.946130799999082,,,,,,,,,,,,,,,10.917418199998792,10.946130799999082,11.916231199998947,,,812330,001,2024-04-30_17h42.33.114,ArchivoPrueba,2024.1.1,None,2024-04-30 17h42.45.472970 -0500,
