PreguntaOff,PreguntaOn,Colors,Conteo,conteoRegresivo.thisRepN,conteoRegresivo.thisTrialN,conteoRegresivo.thisN,conteoRegresivo.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,comienzo.started,InicioConteo.started,comienzo.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.021841099999619473,0.035966499999631196,0.021529800000280375,2.09000289999949,[-0.140625],[0.17838541666666666],[1],[0],[0],[2.0672316000000137],,,,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,Comenzamos en : 1,0,0,0,0,2.1313270000000557,,,,,,,,,,,,2.102014999999483,2.1313270000000557,3.1042412999995577,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,Comenzamos en : 2,0,1,1,1,3.1301868999998987,,,,,,,,,,,,3.104603099999622,3.1301868999998987,4.103271299999506,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,5,white,Comenzamos en : 3,0,2,2,2,4.129484899999625,,,,,,,,,,,,4.103554399999666,4.129484899999625,5.102732299999843,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,None,0,3,3,3,5.129957000000104,,,,,,,,,,,,5.103055499999755,5.129957000000104,6.10135099999934,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
" ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,None,0,4,4,4,6.114312499999869,,,,,,,,,,,,6.101644999999735,6.114312499999869,7.100335000000086,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,None,0,5,5,5,7.113717299999735,,,,,,,,,,,,7.100622399999338,7.113717299999735,8.100047500000073,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,None,0,6,6,6,8.127514099999644,,,,,,,,,,,,8.100380799999584,8.127514099999644,9.098621399999502,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,None,0,7,7,7,9.111675099999957,,,,,,,,,,,,9.098894099999598,9.111675099999957,10.10095420000016,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
 ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,None,0,8,8,8,10.12539519999973,,,,,,,,,,,,10.101460199999565,10.12539519999973,11.096982500000195,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,None,0,9,9,9,11.109959399999752,,,,,,,,,,,,11.097289599999385,11.109959399999752,12.096237300000212,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
None,21,white,None,0,10,10,10,12.123908399999891,,,,,,,,,,,,12.096599399999832,12.123908399999891,13.095189799999389,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
None,23,blue,None,0,11,11,11,13.108271000000059,,,,,,,,,,,,13.095576300000175,13.108271000000059,14.094086000000061,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
None,25,yellow,None,0,12,12,12,14.107666599999902,,,,,,,,,,,,14.094484399999601,14.107666599999902,15.093429900000046,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
None,27,orange,None,0,13,13,13,15.106480200000078,,,,,,,,,,,,15.093733799999427,15.106480200000078,16.092812899999444,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
None,29,brown,None,0,14,14,14,16.120650599999863,,,,,,,,,,,,16.09312129999944,16.120650599999863,17.11343130000023,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
None,31,purple,None,0,15,15,15,17.143369200000052,,,,,,,,,,,,17.113792000000103,17.143369200000052,18.10468899999978,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
None,33,green,None,0,16,16,16,18.118034699999953,,,,,,,,,,,,18.10499350000009,18.118034699999953,19.105580100000225,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
None,35,red,None,0,17,17,17,19.133240699999988,,,,,,,,,,,,19.106044099999963,19.133240699999988,20.104707800000142,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
None,37,white,None,0,18,18,18,20.132453299999725,,,,,,,,,,,,20.1051766999999,20.132453299999725,21.10204590000012,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
None,39,blue,None,0,19,19,19,21.115453599999455,,,,,,,,,,,,21.102320999999392,21.115453599999455,22.10097229999974,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,Comenzamos en : 1,1,0,20,0,22.1145575999999,,,,,,,,,,,,22.101357200000166,22.1145575999999,23.101404699999875,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,Comenzamos en : 2,1,1,21,1,23.113537299999734,,,,,,,,,,,,23.101716199999828,23.113537299999734,24.0996968999998,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,5,white,Comenzamos en : 3,1,2,22,2,24.120963100000154,,,,,,,,,,,,24.10001049999937,24.120963100000154,25.100803399999677,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,None,1,3,23,3,25.113539500000115,,,,,,,,,,,,25.101195399999597,25.113539500000115,26.10049170000002,916300,001,2024-04-28_11h18.52.136,ArchivoPrueba,2024.1.1,None,2024-04-28 11h19.01.371019 -0500,
,,,,,,,,26.113498199999412,,,,,,,,,,,,26.100785699999506,26.113498199999412,,,,,,,,,
