PreguntaOff,PreguntaOn,Pregunta2On,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intrucion.started,text_3.started,mouse.started,Intrucion.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,text.started,Off.stopped,On.started,text_2.started,On.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.017826800000875664,0.04385830000046553,0.017493400000603287,1.6666838000001007,[-0.17447916666666666],[0.15625],[1],[0],[0],[1.6479771000003893],,,,,,,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,1,0,0,0,0,0,0,0,0,4.706871200000023,,,,,,,,,,,,1.6799119000006613,1.7247728000002098,4.6792472000006455,4.688928000000487,4.706871200000023,5.678095900000699,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
2) ¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,2,2,0,0,0,0,0,1,1,1,5.704296000000795,,,,,,,,,,,,,,,5.678391200000078,5.704296000000795,6.677341100000376,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
3) ¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,3,3,0,0,0,0,0,2,2,2,6.703386900000623,,,,,,,,,,,,,,,6.677630500000305,6.703386900000623,7.676194500000747,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
4) ¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,4,4,0,0,0,0,0,3,3,3,7.702472500000113,,,,,,,,,,,,,,,7.676522200000363,7.702472500000113,8.67560820000017,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
"5) ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",5,5,0,0,0,0,0,4,4,4,8.70164030000069,,,,,,,,,,,,,,,8.67593080000006,8.70164030000069,9.674769400000514,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
6) ¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,6,6,0,0,0,0,0,5,5,5,9.700731100000667,,,,,,,,,,,,,,,9.675123100000746,9.700731100000667,10.673688300000322,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
7) ¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,7,7,0,0,0,0,0,6,6,6,10.700184100000115,,,,,,,,,,,,,,,10.674049100000047,10.700184100000115,11.67244760000085,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
8) ¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,8,8,0,0,0,0,0,7,7,7,11.699052200000551,,,,,,,,,,,,,,,11.672747500000696,11.699052200000551,12.671978000000308,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
9) ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,9,9,0,0,0,0,0,8,8,8,12.698298700000123,,,,,,,,,,,,,,,12.672257900000659,12.698298700000123,13.671174700000847,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
10) ¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,10,10,0,0,0,0,0,9,9,9,13.697588300000461,,,,,,,,,,,,,,,13.671446400000605,13.697588300000461,14.670458200000212,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
None,11,11,0,0,0,0,0,10,10,10,14.683167099999991,,,,,,,,,,,,,,,14.670724800000244,14.683167099999991,15.66963510000005,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
None,12,12,0,0,0,0,0,11,11,11,15.68240120000064,,,,,,,,,,,,,,,15.669985500000621,15.68240120000064,16.668493000000126,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
None,13,13,0,0,0,0,0,12,12,12,16.68179170000076,,,,,,,,,,,,,,,16.668814999999995,16.68179170000076,17.667543000000478,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
