PreguntaOff,PreguntaOn,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intrucion.started,text_3.started,mouse.started,Intrucion.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,text.started,Off.stopped,On.started,text_2.started,On.stopped,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.019795699999576755,0.03661649999958172,0.01938140000038402,0.5708111999997527,[-0.15364583333333334],[0.17578125],[1],[0],[0],[0.5502237000000605],,,,,,,,110542,001,2024-04-28_10h20.52.334,ArchivoPrueba,2024.1.1,None,2024-04-28 10h21.02.304394 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,0,0,0,0,20.61327009999968,,,,,,,,,,,,0.5809060999999929,0.6293099999998049,20.585818899999595,20.586569199999758,20.61327009999968,21.58440649999966,,110542,001,2024-04-28_10h20.52.334,ArchivoPrueba,2024.1.1,None,2024-04-28 10h21.02.304394 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,1,0,1,0,21.597777799999676,,,,,,,,,,,,,,,21.58475079999971,21.597777799999676,22.583583999999973,,110542,001,2024-04-28_10h20.52.334,ArchivoPrueba,2024.1.1,None,2024-04-28 10h21.02.304394 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,2,0,2,0,22.59686039999997,,,,,,,,,,,,,,,22.58390939999981,22.59686039999997,23.58317169999964,,110542,001,2024-04-28_10h20.52.334,ArchivoPrueba,2024.1.1,None,2024-04-28 10h21.02.304394 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,3,0,3,0,23.596168399999897,,,,,,,,,,,,,,,23.583549199999652,23.596168399999897,24.58173089999991,,110542,001,2024-04-28_10h20.52.334,ArchivoPrueba,2024.1.1,None,2024-04-28 10h21.02.304394 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,4,0,4,0,24.59514999999965,,,,,,,,,,,,,,,24.582068199999867,24.59514999999965,25.579601799999637,,110542,001,2024-04-28_10h20.52.334,ArchivoPrueba,2024.1.1,None,2024-04-28 10h21.02.304394 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,5,0,5,0,25.593747599999915,,,,,,,,,,,,,,,25.5799434999999,25.593747599999915,26.5806063,,110542,001,2024-04-28_10h20.52.334,ArchivoPrueba,2024.1.1,None,2024-04-28 10h21.02.304394 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,6,0,6,0,26.593283999999585,,,,,,,,,,,,,,,26.580985399999918,26.593283999999585,27.57927359999985,,110542,001,2024-04-28_10h20.52.334,ArchivoPrueba,2024.1.1,None,2024-04-28 10h21.02.304394 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,7,0,7,0,27.607032099999742,,,,,,,,,,,,,,,27.57990410000002,27.607032099999742,28.579004499999883,,110542,001,2024-04-28_10h20.52.334,ArchivoPrueba,2024.1.1,None,2024-04-28 10h21.02.304394 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,8,0,8,0,28.591873899999882,,,,,,,,,,,,,,,28.579347699999744,28.591873899999882,29.577386699999806,,110542,001,2024-04-28_10h20.52.334,ArchivoPrueba,2024.1.1,None,2024-04-28 10h21.02.304394 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,9,0,9,0,29.590799399999923,,,,,,,,,,,,,,,29.577746599999955,29.590799399999923,30.576298999999835,,110542,001,2024-04-28_10h20.52.334,ArchivoPrueba,2024.1.1,None,2024-04-28 10h21.02.304394 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,10,0,10,0,30.589796999999635,,,,,,,,,,,,,,,30.576715299999705,30.589796999999635,31.575796399999945,,110542,001,2024-04-28_10h20.52.334,ArchivoPrueba,2024.1.1,None,2024-04-28 10h21.02.304394 -0500,
