PreguntaOff,PreguntaOn,Colors,Conteo,conteoRegresivo.thisRepN,conteoRegresivo.thisTrialN,conteoRegresivo.thisN,conteoRegresivo.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,comienzo.started,InicioConteo.started,comienzo.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.02506549999998242,0.039506600000095204,0.024714700000004086,3.176784000000225,[-0.05078125],[-0.02734375],[1],[0],[0],[3.1506976999999097],,,,142893,001,2024-04-28_11h20.20.549,ArchivoPrueba,2024.1.1,None,2024-04-28 11h20.29.095331 -0500,
¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,Comenzamos en : 1,0,0,0,0,3.2320301999998264,,,,,,,,,,,,3.1986323999999513,3.2320301999998264,4.18867119999959,142893,001,2024-04-28_11h20.20.549,ArchivoPrueba,2024.1.1,None,2024-04-28 11h20.29.095331 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,Comenzamos en : 2,0,1,1,1,4.214934399999947,,,,,,,,,,,,4.189047699999719,4.214934399999947,5.187941999999566,142893,001,2024-04-28_11h20.20.549,ArchivoPrueba,2024.1.1,None,2024-04-28 11h20.29.095331 -0500,
¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,5,white,Comenzamos en : 3,0,2,2,2,5.213996800000132,,,,,,,,,,,,5.1882181999999375,5.213996800000132,6.186536999999589,142893,001,2024-04-28_11h20.20.549,ArchivoPrueba,2024.1.1,None,2024-04-28 11h20.29.095331 -0500,
¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,None,0,3,3,3,6.1998109999994995,,,,,,,,,,,,6.186899000000267,6.1998109999994995,7.184185299999626,142893,001,2024-04-28_11h20.20.549,ArchivoPrueba,2024.1.1,None,2024-04-28 11h20.29.095331 -0500,
" ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,None,0,4,4,4,7.1992269000002125,,,,,,,,,,,,7.184479200000169,7.1992269000002125,8.199962400000004,142893,001,2024-04-28_11h20.20.549,ArchivoPrueba,2024.1.1,None,2024-04-28 11h20.29.095331 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,None,0,5,5,5,8.215117799999462,,,,,,,,,,,,8.200307000000066,8.215117799999462,9.184555799999544,142893,001,2024-04-28_11h20.20.549,ArchivoPrueba,2024.1.1,None,2024-04-28 11h20.29.095331 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,None,0,6,6,6,9.21241639999971,,,,,,,,,,,,9.18487230000028,9.21241639999971,10.198342400000001,142893,001,2024-04-28_11h20.20.549,ArchivoPrueba,2024.1.1,None,2024-04-28 11h20.29.095331 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,None,0,7,7,7,10.213455799999792,,,,,,,,,,,,10.198706299999685,10.213455799999792,11.197638300000108,142893,001,2024-04-28_11h20.20.549,ArchivoPrueba,2024.1.1,None,2024-04-28 11h20.29.095331 -0500,
 ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,None,0,8,8,8,11.212698999999702,,,,,,,,,,,,11.197915400000056,11.212698999999702,12.179562899999837,142893,001,2024-04-28_11h20.20.549,ArchivoPrueba,2024.1.1,None,2024-04-28 11h20.29.095331 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,None,0,9,9,9,12.194959599999493,,,,,,,,,,,,12.17990219999956,12.194959599999493,13.180346999999529,142893,001,2024-04-28_11h20.20.549,ArchivoPrueba,2024.1.1,None,2024-04-28 11h20.29.095331 -0500,
None,21,white,None,0,10,10,10,13.193699999999808,,,,,,,,,,,,13.180667300000096,13.193699999999808,14.194899899999655,142893,001,2024-04-28_11h20.20.549,ArchivoPrueba,2024.1.1,None,2024-04-28 11h20.29.095331 -0500,
None,23,blue,None,0,11,11,11,14.209580199999436,,,,,,,,,,,,14.195256299999528,14.209580199999436,15.194118899999921,142893,001,2024-04-28_11h20.20.549,ArchivoPrueba,2024.1.1,None,2024-04-28 11h20.29.095331 -0500,
None,25,yellow,None,0,12,12,12,15.209160999999767,,,,,,,,,,,,15.194456499999433,15.209160999999767,16.192964799999572,142893,001,2024-04-28_11h20.20.549,ArchivoPrueba,2024.1.1,None,2024-04-28 11h20.29.095331 -0500,
,,,,,,,,16.208162199999606,,,,,,,,,,,,16.193285899999864,16.208162199999606,,,,,,,,,
