PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,CondicionOn.started,On.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.051448700000037206,0.076524199999767,0.05091299999912735,1.3608438999999635,[-0.15755208333333334],[0.1640625],[1],[0],[0],[1.3078107000001182],,,,,,,513424,001,2024-04-28_12h49.16.213,ArchivoPrueba,2024.1.1,None,2024-04-28 12h49.29.294863 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,0,0,0,0,2.4577368999998725,,,,,,,,,,,,1.3931097999993654,1.4420802999993612,2.3880848999997397,2.4146566999988863,2.4577368999998725,2.4690950000003795,513424,001,2024-04-28_12h49.16.213,ArchivoPrueba,2024.1.1,None,2024-04-28 12h49.29.294863 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,0,0,0,0,1,1,1,2.507697200000621,,,,,,,,,,,,,,,2.470021299999644,2.507697200000621,2.585887699999148,513424,001,2024-04-28_12h49.16.213,ArchivoPrueba,2024.1.1,None,2024-04-28 12h49.29.294863 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,0,0,0,0,2,2,2,2.6243928000003507,,,,,,,,,,,,,,,2.5868042999991303,2.6243928000003507,2.668630899999698,513424,001,2024-04-28_12h49.16.213,ArchivoPrueba,2024.1.1,None,2024-04-28 12h49.29.294863 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,0,0,0,0,3,3,3,2.707458400000178,,,,,,,,,,,,,,,2.669764700000087,2.707458400000178,2.786582400000043,513424,001,2024-04-28_12h49.16.213,ArchivoPrueba,2024.1.1,None,2024-04-28 12h49.29.294863 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,0,0,0,0,4,4,4,2.8240671000003204,,,,,,,,,,,,,,,2.7877800000005664,2.8240671000003204,2.870306900000287,513424,001,2024-04-28_12h49.16.213,ArchivoPrueba,2024.1.1,None,2024-04-28 12h49.29.294863 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,0,0,0,0,5,5,5,2.8924772999998822,,,,,,,,,,,,,,,2.871295299999474,2.8924772999998822,2.9682978999990155,513424,001,2024-04-28_12h49.16.213,ArchivoPrueba,2024.1.1,None,2024-04-28 12h49.29.294863 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,0,0,0,0,6,6,6,2.9920127999994293,,,,,,,,,,,,,,,2.969206199999462,2.9920127999994293,3.0737017999999807,513424,001,2024-04-28_12h49.16.213,ArchivoPrueba,2024.1.1,None,2024-04-28 12h49.29.294863 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,0,0,0,0,7,7,7,3.1091039999992063,,,,,,,,,,,,,,,3.0749266000002535,3.1091039999992063,3.186709999999948,513424,001,2024-04-28_12h49.16.213,ArchivoPrueba,2024.1.1,None,2024-04-28 12h49.29.294863 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,0,0,0,0,8,8,8,3.208802699999069,,,,,,,,,,,,,,,3.1883311000001413,3.208802699999069,3.2852351999990788,513424,001,2024-04-28_12h49.16.213,ArchivoPrueba,2024.1.1,None,2024-04-28 12h49.29.294863 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,0,0,0,0,9,9,9,3.3086523999991186,,,,,,,,,,,,,,,3.286611499999708,3.3086523999991186,3.386447599999883,513424,001,2024-04-28_12h49.16.213,ArchivoPrueba,2024.1.1,None,2024-04-28 12h49.29.294863 -0500,
