PreguntaOff,PreguntaOn,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intrucion.started,text_3.started,mouse.started,Intrucion.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,text.started,Off.stopped,On.started,text_2.started,On.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.02256370000031893,0.037790700000186916,0.02222299999993993,0.7721432000003006,[-0.12890625],[0.16927083333333334],[1],[0],[0],[0.7486819000000651],,,,,,,536483,001,2024-04-28_10h22.54.949,ArchivoPrueba,2024.1.1,None,2024-04-28 10h23.06.864655 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,0,0,0,0,3.797387600000093,,,,,,,,,,,,0.7822105000000192,0.8297902000003887,3.7842719000000216,3.7849528000001555,3.797387600000093,4.783407400000215,536483,001,2024-04-28_10h22.54.949,ArchivoPrueba,2024.1.1,None,2024-04-28 10h23.06.864655 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,1,0,1,0,4.796634000000267,,,,,,,,,,,,,,,4.783759000000373,4.796634000000267,5.782613400000173,536483,001,2024-04-28_10h22.54.949,ArchivoPrueba,2024.1.1,None,2024-04-28 10h23.06.864655 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,2,0,2,0,5.79580980000037,,,,,,,,,,,,,,,5.783099700000093,5.79580980000037,6.781658900000366,536483,001,2024-04-28_10h22.54.949,ArchivoPrueba,2024.1.1,None,2024-04-28 10h23.06.864655 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,3,0,3,0,6.794900000000325,,,,,,,,,,,,,,,6.782002700000248,6.794900000000325,7.780799999999999,536483,001,2024-04-28_10h22.54.949,ArchivoPrueba,2024.1.1,None,2024-04-28 10h23.06.864655 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,4,0,4,0,7.7939595000002555,,,,,,,,,,,,,,,7.781126600000334,7.7939595000002555,8.77995110000029,536483,001,2024-04-28_10h22.54.949,ArchivoPrueba,2024.1.1,None,2024-04-28 10h23.06.864655 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,5,0,5,0,8.793623700000353,,,,,,,,,,,,,,,8.780320500000016,8.793623700000353,9.779474000000391,536483,001,2024-04-28_10h22.54.949,ArchivoPrueba,2024.1.1,None,2024-04-28 10h23.06.864655 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,6,0,6,0,9.792522100000042,,,,,,,,,,,,,,,9.779890700000124,9.792522100000042,10.778119700000389,536483,001,2024-04-28_10h22.54.949,ArchivoPrueba,2024.1.1,None,2024-04-28 10h23.06.864655 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,7,0,7,0,10.791355900000326,,,,,,,,,,,,,,,10.77846770000042,10.791355900000326,11.777390200000355,536483,001,2024-04-28_10h22.54.949,ArchivoPrueba,2024.1.1,None,2024-04-28 10h23.06.864655 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,8,0,8,0,11.790476900000158,,,,,,,,,,,,,,,11.77784950000023,11.790476900000158,12.77653840000039,536483,001,2024-04-28_10h22.54.949,ArchivoPrueba,2024.1.1,None,2024-04-28 10h23.06.864655 -0500,
,,,,,,,,,,12.789628500000163,,,,,,,,,,,,,,,12.777022500000385,12.789628500000163,,,,,,,,,
