PreguntaOff,PreguntaOn,Colors,Conteo,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,CondicionOn.started,On.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.023270599999705155,0.03827610000007553,0.02292219999981171,6.320921599999565,[-0.140625],[0.17838541666666666],[1],[0],[0],[6.296835600000122],,,,,,,615678,001,2024-04-28_11h24.58.197,ArchivoPrueba,2024.1.1,None,2024-04-28 11h25.10.515284 -0500,
¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,Comenzamos en : 1,0,0,0,0,0,0,0,0,26.378915100000086,,,,,,,,,,,,6.333390900000268,6.362936100000297,26.33574039999985,26.346570099999553,26.378915100000086,27.33485279999968,615678,001,2024-04-28_11h24.58.197,ArchivoPrueba,2024.1.1,None,2024-04-28 11h25.10.515284 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,Comenzamos en : 2,0,0,0,0,0,1,1,1,27.36126400000012,,,,,,,,,,,,,,,27.335169299999507,27.36126400000012,28.333969100000104,615678,001,2024-04-28_11h24.58.197,ArchivoPrueba,2024.1.1,None,2024-04-28 11h25.10.515284 -0500,
¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,5,white,Comenzamos en : 3,0,0,0,0,0,2,2,2,28.36010830000032,,,,,,,,,,,,,,,28.334346800000276,28.36010830000032,29.332999799999925,615678,001,2024-04-28_11h24.58.197,ArchivoPrueba,2024.1.1,None,2024-04-28 11h25.10.515284 -0500,
¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,None,0,0,0,0,0,3,3,3,29.359516800000165,,,,,,,,,,,,,,,29.33338399999957,29.359516800000165,30.332333199999994,615678,001,2024-04-28_11h24.58.197,ArchivoPrueba,2024.1.1,None,2024-04-28 11h25.10.515284 -0500,
" ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,None,0,0,0,0,0,4,4,4,30.358814899999743,,,,,,,,,,,,,,,30.332635400000072,30.358814899999743,31.331334100000277,615678,001,2024-04-28_11h24.58.197,ArchivoPrueba,2024.1.1,None,2024-04-28 11h25.10.515284 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,None,0,0,0,0,0,5,5,5,31.344740900000033,,,,,,,,,,,,,,,31.331654900000103,31.344740900000033,32.33048520000011,615678,001,2024-04-28_11h24.58.197,ArchivoPrueba,2024.1.1,None,2024-04-28 11h25.10.515284 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,None,0,0,0,0,0,6,6,6,32.343775399999686,,,,,,,,,,,,,,,32.330809500000214,32.343775399999686,33.32983830000012,615678,001,2024-04-28_11h24.58.197,ArchivoPrueba,2024.1.1,None,2024-04-28 11h25.10.515284 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,None,0,0,0,0,0,7,7,7,33.342947000000095,,,,,,,,,,,,,,,33.33013370000026,33.342947000000095,34.329093499999544,615678,001,2024-04-28_11h24.58.197,ArchivoPrueba,2024.1.1,None,2024-04-28 11h25.10.515284 -0500,
 ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,None,0,0,0,0,0,8,8,8,34.341934899999615,,,,,,,,,,,,,,,34.329367600000296,34.341934899999615,35.327886999999464,615678,001,2024-04-28_11h24.58.197,ArchivoPrueba,2024.1.1,None,2024-04-28 11h25.10.515284 -0500,
