PreguntaOff,PreguntaOn,Pregunta2On,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intrucion.started,text_3.started,mouse.started,Intrucion.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,text.started,Off.stopped,On.started,text_2.started,On.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.030827600000066013,0.04623379999975441,0.03046600000016042,1.0331224000001384,[-0.016927083333333332],[-0.14973958333333334],[1],[0],[0],[1.001397900000029],,,,,,,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,1,0,0,0,0,0,0,0,0,4.073227399999723,,,,,,,,,,,,1.0465954999999667,1.0908289999997578,4.045180900000105,4.055305299999873,4.073227399999723,5.044121699999778,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
2) ¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,2,2,0,0,0,0,0,1,1,1,5.070545799999763,,,,,,,,,,,,,,,5.044461500000125,5.070545799999763,6.043822900000123,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
3) ¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,3,3,0,0,0,0,0,2,2,2,6.069799500000045,,,,,,,,,,,,,,,6.044157299999824,6.069799500000045,7.042802699999811,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
4) ¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,4,4,0,0,0,0,0,3,3,3,7.068839699999899,,,,,,,,,,,,,,,7.04310200000009,7.068839699999899,8.04191069999979,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
"5) ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",5,5,0,0,0,0,0,4,4,4,8.068187899999884,,,,,,,,,,,,,,,8.0422209999997,8.068187899999884,9.040711199999805,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
6) ¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,6,6,0,0,0,0,0,5,5,5,9.067121699999916,,,,,,,,,,,,,,,9.041025600000012,9.067121699999916,10.040187799999785,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
7) ¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,7,7,0,0,0,0,0,6,6,6,10.066254999999728,,,,,,,,,,,,,,,10.040480099999968,10.066254999999728,11.039073800000097,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
8) ¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,8,8,0,0,0,0,0,7,7,7,11.065307200000007,,,,,,,,,,,,,,,11.039368400000058,11.065307200000007,12.038255599999957,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
9) ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,9,9,0,0,0,0,0,8,8,8,12.06442909999987,,,,,,,,,,,,,,,12.038611299999957,12.06442909999987,13.037418800000069,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
10) ¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,10,10,0,0,0,0,0,9,9,9,13.063540699999976,,,,,,,,,,,,,,,13.037797899999987,13.063540699999976,14.03614299999981,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
None,11,11,0,0,0,0,0,10,10,10,14.049596499999552,,,,,,,,,,,,,,,14.03651630000013,14.049596499999552,15.03530180000007,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
None,12,12,0,0,0,0,0,11,11,11,15.048783599999751,,,,,,,,,,,,,,,15.035678099999586,15.048783599999751,16.035006800000247,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
None,13,13,0,0,0,0,0,12,12,12,16.0476807,,,,,,,,,,,,,,,16.03535189999957,16.0476807,17.03383530000019,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
None,14,14,0,0,0,0,0,13,13,13,17.046760099999574,,,,,,,,,,,,,,,17.03412100000014,17.046760099999574,18.03493870000011,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
None,15,15,0,0,0,0,0,14,14,14,18.060689999999795,,,,,,,,,,,,,,,18.035471900000175,18.060689999999795,19.034987399999864,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
None,16,16,0,0,0,0,0,15,15,15,19.062910699999975,,,,,,,,,,,,,,,19.0352883999999,19.062910699999975,20.04856410000002,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
None,17,17,0,0,0,0,0,16,16,16,20.078041499999472,,,,,,,,,,,,,,,20.048932899999727,20.078041499999472,21.047338199999558,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
None,18,18,0,0,0,0,0,17,17,17,21.060460299999704,,,,,,,,,,,,,,,21.04769090000036,21.060460299999704,22.04644700000017,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
None,19,19,0,0,0,0,0,18,18,18,22.059363900000335,,,,,,,,,,,,,,,22.046779900000274,22.059363900000335,23.045828799999526,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
None,20,20,0,0,0,0,0,19,19,19,23.05864900000006,,,,,,,,,,,,,,,23.04618419999997,23.05864900000006,24.044456299999638,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,1,0,0,0,0,1,0,20,0,24.057543600000372,,,,,,,,,,,,,,,24.04477319999978,24.057543600000372,25.043653600000198,750884,001,2024-04-28_10h33.58.335,ArchivoPrueba,2024.1.1,None,2024-04-28 10h34.07.552383 -0500,
,,,,,,,,,,,25.056589199999962,,,,,,,,,,,,,,,25.043985099999645,25.056589199999962,,,,,,,,,
